,0
last_3nt_GGA,0.063664597770888
tri_CAA,0.06333796449601568
first_2nt_TA,0.06319489507529431
tri_ACC,0.061839179570419664
di_GG_freq,0.06071348111063596
AT_fraction,0.06041909211295123
predicted_PS_count,0.05954397177393678
tri_GCG,0.055897505335247004
last_3nt_GGG,0.05434083330020316
tri_TGG,0.052657979300610454
last_2nt_GG,0.05188639690649938
di_CG_freq,0.05092206276211406
five_prime_base_G,0.05017633421763179
tri_GAC,0.05012819362502034
tri_CGC,0.05002542522137536
first_2nt_CG,0.049679544640837306
tri_TCC,0.04963198919474644
first_3nt_AGT,0.04945055146802433
first_2nt_GG,0.04890299513036275
tri_CGG,0.0471173921727579
gapmer_4-8-5,0.046352708817449156
tri_ACT,0.04635127957641408
tri_ATA,0.04583532125876899
first_3nt_GCT,0.0458208558794033
last_3nt_ATT,0.04287446325348529
last_3nt_TTT,0.041799165181420544
tri_TTG,0.041718809616444946
last_3nt_TAT,0.040992123236375286
tri_GAG,0.04071438946579051
tri_AGC,0.037337649075922894
three_prime_base_G,0.03492052220034165
tri_CGT,0.03482692290152527
tri_GGC,0.03420523631051156
first_2nt_TG,0.03259856989099416
transfection_electroporation,0.03252406295506094
tri_GTG,0.03223033021700588
tri_GAT,0.03205219639932372
tri_AAC,0.029973126544664684
tri_GCC,0.028950110268591997
central_deoxy_gap_length,0.027661048891137678
last_2nt_AA,0.02690228286924829
predicted_PO_fraction,0.02605032179897737
first_2nt_GA,0.02471571719331329
symmetry_flag,0.023849140327335788
tri_TAG,0.022419133022949223
last_2nt_TT,0.022388843375448948
tri_TCG,0.022002707963778793
first_3nt_ACA,0.020027629244183557
tri_CTT,0.019826175415317837
last_3nt_CAA,0.01845038380791495
seq_length,0.018218609221291083
last_3nt_ACA,0.01808156388540781
linkage_type_count,0.017193581254694026
first_2nt_GT,0.016437410213463642
first_2nt_TT,0.01553170443074398
last_2nt_AT,0.015182496515316345
first_3nt_GTC,0.014378689770720614
first_3nt_CTT,0.013941707565796675
last_3nt_GAT,0.013765940906114207
n_position_indices,0.013541403880096121
tri_CCT,0.012029201764185204
first_3nt_TTT,0.011773848700532661
first_2nt_CT,0.01110442507458696
last_2nt_GT,0.010938209151038967
tri_CGA,0.010634416621430531
gapmer_5-10-5,0.010537204964114331
first_3nt_CAT,0.010428179712101136
gapmer_5-8-5,0.009870668189638429
last_3nt_AGG,0.009141533195758313
last_3nt_GCA,0.008444815114073965
tri_CCG,0.008411487261886175
last_2nt_AC,0.008407872159498085
tri_ACG,0.006180396763248941
first_2nt_CA,0.00615208163226701
first_3nt_CCG,0.005549526535041113
last_3nt_TCA,0.005450792358671869
last_2nt_GC,0.004985269253492236
first_3nt_TTA,0.004516771544520276
first_2nt_TC,0.004403342086347584
gapmer_4-8-4,0.003312318732237957
last_3nt_CTG,0.0029673491735676583
CpG_count,0.0027275470065936747
last_2nt_TC,0.0023307120356483206
last_3nt_AGT,0.001956636472241433
first_3nt_CCC,0.0016372181392291273
right_modified_wing_length,0.0011385880814402238
last_2nt_TA,0.0009350466316178177
first_3nt_GCA,0.0009144485956890638
first_3nt_ATG,0.0008561875075453851
n_linkage_position_indices,0.0
last_3nt_ACT,0.0
first_3nt_ACT,0.0
last_3nt_ACG,0.0
first_3nt_ACG,0.0
last_3nt_ACC,0.0
first_3nt_ACC,0.0
max_modified_position,0.0
n_modification_types,0.0
contains_cEt,0.0
gapmer_6-9-5,0.0
gapmer_6-8-6,0.0
gapmer_5-8-4,0.0
gapmer_5-8-7,0.0
chemical_pattern_length,0.0
linkage_transition_count,0.0
first_3nt_ATA,0.0
last_3nt_CCC,0.0
last_3nt_CCA,0.0
first_3nt_CCA,0.0
last_3nt_CAT,0.0
first_3nt_CAA,0.0
first_3nt_CAC,0.0
first_3nt_CCT,0.0
last_3nt_CCG,0.0
last_3nt_CGG,0.0
first_3nt_CGT,0.0
last_3nt_CGT,0.0
last_3nt_CCT,0.0
first_3nt_CGA,0.0
last_3nt_CGA,0.0
first_3nt_CGC,0.0
first_3nt_AGG,0.0
last_3nt_AAC,0.0
first_3nt_AAC,0.0
last_3nt_AAA,0.0
first_3nt_AAG,0.0
first_3nt_ATC,0.0
last_3nt_ATC,0.0
last_3nt_ATA,0.0
last_3nt_AAG,0.0
first_3nt_ATT,0.0
last_3nt_ATG,0.0
first_3nt_AGC,0.0
last_2nt_TG,0.0
first_3nt_AAA,0.0
last_3nt_AGC,0.0
first_3nt_AGA,0.0
last_3nt_AGA,0.0
first_3nt_GCG,0.0
last_3nt_GCC,0.0
first_3nt_GCC,0.0
last_3nt_GAG,0.0
first_3nt_GAT,0.0
first_3nt_GAC,0.0
last_3nt_GAC,0.0
